序号,名称,申报类别,出版单位,运营单位,文号,出版物号,时间
1,天羽之诗,移动,安徽新华电子音像出版社,杭州随手游网络科技有限公司,国新出审[2021]166号,ISBN 978-7-498-08692-1,2021年1月27日
2,六玄之苍,移动,杭州群游科技有限公司,厦门市奉孝文化传播有限公司,国新出审[2021]165号,ISBN 978-7-498-08694-5,2021年1月27日
3,放置海域,移动,上海众源网络有限公司,上海众源网络有限公司,国新出审[2021]164号,ISBN 978-7-498-08696-9,2021年1月27日
4,半盏复古行,移动,三辰影库音像出版社有限公司,北京十字星云技术开发有限公司,国新出审[2021]163号,ISBN 978-7-498-08698-3,2021年1月27日
5,野蛮人大作战2,移动,杭州电魂网络科技股份有限公司,杭州电魂网络科技股份有限公司,国新出审[2021]162号,ISBN 978-7-498-08700-3,2021年1月27日
6,传奇召唤师2,移动,杭州润趣科技有限公司,杭州非奇科技股份有限公司,国新出审[2021]161号,ISBN 978-7-498-08702-7,2021年1月27日
7,御龙主宰,移动,浙江出版集团数字传媒有限公司,绍兴天石网络科技有限公司,国新出审[2021]160号,ISBN 978-7-498-08704-1,2021年1月27日
8,狂欢动物岛,移动,西安交通大学出版社有限责任公司,西安叁角猫网络科技有限公司,国新出审[2021]159号,ISBN 978-7-498-08706-5,2021年1月27日
9,第八秩序,移动,上海科学技术文献出版社有限公司,上海浪险劲网络科技有限公司,国新出审[2021]158号,ISBN 978-7-498-08707-2,2021年1月27日
10,勇士模拟战,移动,湖北省扬子江影音有限责任公司,深圳策略一二三网络有限公司,国新出审[2021]157号,ISBN 978-7-498-08646-4,2021年1月27日
11,元气束灵师,移动,黑龙江龙华数字出版股份有限公司,成都市福乐游网络科技有限公司,国新出审[2021]156号,ISBN 978-7-498-08648-8,2021年1月27日
12,斗罗大陆-斗神再临,移动,上海电子出版有限公司,上海玄霆娱乐信息科技有限公司,国新出审[2021]155号,ISBN 978-7-498-08650-1,2021年1月27日
13,墨斗,移动,华中科技大学电子音像出版社,厦门市火柴人科技有限公司,国新出审[2021]154号,ISBN 978-7-498-08652-5,2021年1月27日
14,团子的旅行,移动,江苏凤凰电子音像出版社有限公司,南京魔度互娱信息技术有限公司,国新出审[2021]153号,ISBN 978-7-498-08654-9,2021年1月27日
